,Date,Value,SMA10,MACDhist,EMA12,MOM,HT_DCPERIOD,HT_DCPHASE,SINE,LEADSINE,INPHASE,QUADRATURE,PPO,TRIX,profit,Volatility
0,2016-09-11,621.65,610.802,3.3346204601614824,611.7583333333333,-22.769999999999985,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.0476479873051458,0.3360721214860751,-0.0192712941365721,0.0414240694588986
1,2016-09-12,609.67,610.802,3.3346204601614824,611.7583333333333,-22.769999999999985,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.0476479873051458,0.3360721214860751,0.0020502895008775,0.0402340425698386
2,2016-09-13,610.92,610.802,3.3346204601614824,611.7583333333333,-22.769999999999985,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.0476479873051458,0.3360721214860751,-0.0034374386171674,0.0385792318197693
3,2016-09-14,608.82,610.802,3.3346204601614824,611.7583333333333,-22.769999999999985,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.0476479873051458,0.3360721214860751,0.002562333694688,0.037110008304399
4,2016-09-15,610.38,610.802,3.3346204601614824,611.7583333333333,-22.769999999999985,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.0476479873051458,0.3360721214860751,-0.002080671057374,0.0357218283806829
5,2016-09-16,609.11,610.802,3.3346204601614824,611.7583333333333,-22.769999999999985,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.0476479873051458,0.3360721214860751,-0.003398400945642,0.0344906488726568
6,2016-09-17,607.04,610.802,3.3346204601614824,610.4102380952381,-22.769999999999985,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.0476479873051458,0.3360721214860751,0.0074789140748551,0.0334002116774908
7,2016-09-18,611.58,610.802,3.3346204601614824,610.7444557823129,-22.769999999999985,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.0476479873051458,0.3360721214860751,-0.0022728015958664,0.0323721925601009
8,2016-09-19,610.19,610.802,3.3346204601614824,610.5860398445093,-22.769999999999985,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.0476479873051458,0.3360721214860751,-0.0025074157229716,0.0314568748170288
9,2016-09-20,608.66,610.802,3.3346204601614824,610.0357427460781,-22.769999999999985,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.0476479873051458,0.3360721214860751,-0.0160680839877764,0.0306432521575963
10,2016-09-21,598.88,608.5250000000001,3.3346204601614824,606.84838767577,-22.769999999999985,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.0476479873051458,0.3360721214860751,-0.0024378840502271,0.0304166347655995
11,2016-09-22,597.42,607.3000000000001,3.3346204601614824,604.15456262555,-12.25,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.0476479873051458,0.3360721214860751,-0.0055907067055001,0.0297130252260836
