,Date,Value,SMA10,SMA20,SMA30,MACD,MACDsignal,MACDhist,EMA12,EMA26,RSI,MOM,ROC,ROCP,ROCR,ROCR100,HT_DCPERIOD,HT_DCPHASE,SINE,LEADSINE,INPHASE,QUADRATURE,APO,PPO,CMO,TRIX,profit,Volatility
0,2016-09-11,621.65,610.802,606.3934999999999,608.7180000000002,5.956068416072071,2.6214479559105888,3.3346204601614824,611.7583333333333,608.6933333333334,31.636229477956096,-22.769999999999985,-3.6628327837207375,-0.0366283278372074,0.9633716721627926,96.33716721627928,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.2894871794873097,0.0476479873051458,-36.7275410440878,0.3360721214860751,-0.0192712941365721,0.0414240694588986
1,2016-09-12,609.67,610.802,606.3934999999999,608.7180000000002,5.956068416072071,2.6214479559105888,3.3346204601614824,611.7583333333333,608.6933333333334,31.636229477956096,-22.769999999999985,-3.6628327837207375,-0.0366283278372074,0.9633716721627926,96.33716721627928,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.2894871794873097,0.0476479873051458,-36.7275410440878,0.3360721214860751,0.0020502895008775,0.0402340425698386
2,2016-09-13,610.92,610.802,606.3934999999999,608.7180000000002,5.956068416072071,2.6214479559105888,3.3346204601614824,611.7583333333333,608.6933333333334,31.636229477956096,-22.769999999999985,-3.6628327837207375,-0.0366283278372074,0.9633716721627926,96.33716721627928,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.2894871794873097,0.0476479873051458,-36.7275410440878,0.3360721214860751,-0.0034374386171674,0.0385792318197693
3,2016-09-14,608.82,610.802,606.3934999999999,608.7180000000002,5.956068416072071,2.6214479559105888,3.3346204601614824,611.7583333333333,608.6933333333334,31.636229477956096,-22.769999999999985,-3.6628327837207375,-0.0366283278372074,0.9633716721627926,96.33716721627928,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.2894871794873097,0.0476479873051458,-36.7275410440878,0.3360721214860751,0.002562333694688,0.037110008304399
4,2016-09-15,610.38,610.802,606.3934999999999,608.7180000000002,5.956068416072071,2.6214479559105888,3.3346204601614824,611.7583333333333,608.6933333333334,31.636229477956096,-22.769999999999985,-3.6628327837207375,-0.0366283278372074,0.9633716721627926,96.33716721627928,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.2894871794873097,0.0476479873051458,-36.7275410440878,0.3360721214860751,-0.002080671057374,0.0357218283806829
5,2016-09-16,609.11,610.802,606.3934999999999,608.7180000000002,5.956068416072071,2.6214479559105888,3.3346204601614824,611.7583333333333,608.6933333333334,31.636229477956096,-22.769999999999985,-3.6628327837207375,-0.0366283278372074,0.9633716721627926,96.33716721627928,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.2894871794873097,0.0476479873051458,-36.7275410440878,0.3360721214860751,-0.003398400945642,0.0344906488726568
6,2016-09-17,607.04,610.802,606.3934999999999,608.7180000000002,5.956068416072071,2.6214479559105888,3.3346204601614824,610.4102380952381,608.6933333333334,31.636229477956096,-22.769999999999985,-3.6628327837207375,-0.0366283278372074,0.9633716721627926,96.33716721627928,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.2894871794873097,0.0476479873051458,-36.7275410440878,0.3360721214860751,0.0074789140748551,0.0334002116774908
7,2016-09-18,611.58,610.802,606.3934999999999,608.7180000000002,5.956068416072071,2.6214479559105888,3.3346204601614824,610.7444557823129,608.6933333333334,31.636229477956096,-22.769999999999985,-3.6628327837207375,-0.0366283278372074,0.9633716721627926,96.33716721627928,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.2894871794873097,0.0476479873051458,-36.7275410440878,0.3360721214860751,-0.0022728015958664,0.0323721925601009
8,2016-09-19,610.19,610.802,606.3934999999999,608.7180000000002,5.956068416072071,2.6214479559105888,3.3346204601614824,610.5860398445093,608.6933333333334,31.636229477956096,-22.769999999999985,-3.6628327837207375,-0.0366283278372074,0.9633716721627926,96.33716721627928,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.2894871794873097,0.0476479873051458,-36.7275410440878,0.3360721214860751,-0.0025074157229716,0.0314568748170288
9,2016-09-20,608.66,610.802,606.3934999999999,608.7180000000002,5.956068416072071,2.6214479559105888,3.3346204601614824,610.0357427460781,608.6933333333334,31.636229477956096,-22.769999999999985,-3.6628327837207375,-0.0366283278372074,0.9633716721627926,96.33716721627928,15.646696015449796,205.9468881623341,-0.4375377976609838,-0.9452163753989636,4.22339402840027,0.9040137462406737,0.2894871794873097,0.0476479873051458,-36.7275410440878,0.3360721214860751,-0.0160680839877764,0.0306432521575963
