"","V1"
"1",0.0414240694588986
"2",0.0402340425698386
"3",0.0385792318197693
"4",0.037110008304399
"5",0.0357218283806829
"6",0.0344906488726568
"7",0.0334002116774908
"8",0.0323721925601009
"9",0.0314568748170288
"10",0.0306432521575963
"11",0.0304166347655995
"12",0.0297130252260836
"13",0.0291374672045759
"14",0.0287680038068324
"15",0.028231427581906
"16",0.0278031170172298
"17",0.0274250459683081
"18",0.0269895132942173
"19",0.0266534718954284
"20",0.0263427570286504
"21",0.0260692965920915
"22",0.0258286906562105
"23",0.0255999467636142
"24",0.0254322442492643
"25",0.0252970576110557
"26",0.0251194146775822
"27",0.0249759046476876
"28",0.0248868422795997
"29",0.0247238978116182
"30",0.0245726696077519
"31",0.0245483229651318
"32",0.0259729266271534
"33",0.0256789619056968
"34",0.0254996714885628
"35",0.025275041758496
"36",0.0250700986609788
"37",0.0249663516202208
"38",0.0248931037203527
"39",0.0250976834181191
"40",0.0249696200668576
"41",0.0248119820494947
"42",0.0267091527955768
"43",0.0263828047841301
"44",0.0261219644834886
"45",0.0258258587511291
"46",0.0256909000868576
"47",0.0286150694654736
"48",0.0281046641734826
"49",0.0276435033527444
"50",0.0275116429073853
"51",0.0270639950066278
"52",0.0268320245445611
"53",0.0302044235607217
"54",0.0354380962250193
"55",0.0343316840594224
"56",0.0343024301688818
"57",0.033244384684763
"58",0.0322575071396356
"59",0.0313470960101723
"60",0.0307646860677505
"61",0.0299716359001501
"62",0.029469335296535
"63",0.0294138943137807
"64",0.0288043100727732
"65",0.0282174213918743
"66",0.027695685389251
"67",0.0272189587367636
"68",0.0284754243438576
"69",0.0281562657371969
"70",0.0276272891129355
"71",0.0285867478127894
"72",0.0281318511508075
"73",0.0276352734392652
"74",0.0271699760180822
"75",0.0268644651544611
"76",0.0265346674041759
"77",0.0262370252913522
"78",0.0261295785135915
"79",0.0258512479991227
"80",0.025602030985141
"81",0.0255487365388272
"82",0.0253271275965236
"83",0.0275142661121712
"84",0.0272966024204833
"85",0.0269187133940524
"86",0.026842410147814
"87",0.0264540353372852
"88",0.0261060772379093
"89",0.0260017227249698
"90",0.0257137738696754
"91",0.0254876227763186
"92",0.0253374951981576
"93",0.0251303740706457
"94",0.0249402023399172
"95",0.0248564040486014
"96",0.0246917401617287
"97",0.0245769078870506
"98",0.0247598413283399
"99",0.0246208304948229
"100",0.0245006509914369
"101",0.0243869629527323
"102",0.0265897427020548
"103",0.0264401308468817
"104",0.0346865400047052
"105",0.033679930637427
"106",0.0326214392625019
"107",0.0316538032850702
"108",0.0323664642667032
"109",0.0314174856790568
"110",0.032000743299239
"111",0.0313402720159566
"112",0.0304908721194404
"113",0.0319175350313826
"114",0.03138831012033
"115",0.0305753536507671
"116",0.0441388932296616
"117",0.0547565108028771
"118",0.051964722191871
"119",0.0583236134880683
"120",0.0552671010575393
"121",0.0524240754258176
"122",0.0498674971472066
"123",0.0626739234934861
"124",0.0594270994332465
"125",0.0587964815585711
"126",0.05580721630267
"127",0.052925006196883
"128",0.0503552842087011
"129",0.0543106669657447
"130",0.051543690705097
"131",0.0492253575623204
"132",0.0468698274035934
"133",0.0446697591798345
"134",0.0431767430045702
"135",0.041274695754442
"136",0.0395659792527571
"137",0.0391995908998098
"138",0.0381692017179049
"139",0.0366970913629636
"140",0.0353486649040008
"141",0.0341920870789747
"142",0.0331474278177783
"143",0.0360247414785148
"144",0.0349994970306677
"145",0.0337994548891602
"146",0.0337085639587288
"147",0.0329564298915861
"148",0.0319461011524907
"149",0.0312762083107898
"150",0.0311279552238129
"151",0.0302941178783732
"152",0.0374283714720956
"153",0.0364051737839169
"154",0.0350888077415949
"155",0.0338821924187592
"156",0.0328020142040114
"157",0.0318129798418082
"158",0.0310051570734261
"159",0.0307567813986029
"160",0.0299694026253228
"161",0.0297010703022458
"162",0.0290660197321172
"163",0.0284886297644489
"164",0.0342904143025596
"165",0.0331576713056118
"166",0.0321324722338264
"167",0.0331308650149483
"168",0.0328228851090289
"169",0.0318567088646081
"170",0.0324415770999459
"171",0.0315142636358216
"172",0.0306438799595046
"173",0.0340658147058512
"174",0.0334486388346544
"175",0.0323969540583392
"176",0.0317898008029538
"177",0.0308913839378077
"178",0.0300808744322166
"179",0.0417199139129395
"180",0.0405582286482065
"181",0.0388727568371598
"182",0.0376080852862596
"183",0.0379140335880605
"184",0.0364574097607838
"185",0.0352680273630191
"186",0.0341117190344902
"187",0.0330105478714128
"188",0.0517004970927547
